WKT,fid,id,building_theme,classification,distinctive_name,feature_code
"POLYGON ((279814.04 889736.38,279814.02 889722.53,279827.62 889722.51,279827.64 889736.36,279814.04 889736.38))","2995",0844A1EB-AA27-4ED8-B257-98B1DCD85E3C,Cultural Facility,Library,,"15024"
"POLYGON ((163766.62 823763.71,163782.67 823755.44,163786.81 823763.49,163770.77 823771.76,163766.62 823763.71))","3011",FFB81DC5-206C-4EFD-A673-6A5A993867FB,Cultural Facility,Library,,"15024"
"POLYGON ((341152.4 702663.03,341138.42 702670.26,341135.56 702664.72,341149.53 702657.5,341152.4 702663.03))","3065",17D4BA92-9C7B-4624-9D4E-3BB3A8CC1504,Cultural Facility,Library,,"15024"
"POLYGON ((388350.35 855699.0,388359.55 855681.49,388367.08 855685.5,388357.77 855702.91,388350.35 855699.0))","3112",90DD18CE-BA87-40F3-A9A9-D3E0CBC0CBFB,Cultural Facility,Library,,"15024"
"POLYGON ((310529.42 689465.14,310505.9 689464.3,310506.75 689440.7,310530.27 689441.6,310529.42 689465.14))","3227",E57AAE63-225E-459F-B0E2-F75DC8785039,Cultural Facility,Library,,"15024"
"POLYGON ((380844.23 864209.71,380844.44 864207.93,380835.26 864206.8,380835.05 864208.54,380826.76 864207.48,380830.89 864176.17,380855.79 864179.34,380850.89 864218.03,380843.34 864217.13,380844.23 864209.71))","3257",20A1FBC6-AF9C-4EE9-8C0A-BF00490A3067,Cultural Facility,Library,,"15024"
"POLYGON ((277482.27 722110.79,277490.63 722117.36,277487.09 722121.86,277478.73 722115.3,277482.27 722110.79))","3372",A819D96F-8E5D-47B4-8B9B-B5C887ADA67A,Cultural Facility,Library,Comrie Library,"15024"
"POLYGON ((371379.8 757686.65,371361.01 757673.12,371371.85 757657.64,371376.03 757656.74,371392.65 757668.42,371379.8 757686.65))","3395",9110698A-F9AC-4EED-92F5-3F894C26F902,Cultural Facility,Library,,"15024"
"POLYGON ((342079.94 727895.79,342074.06 727878.12,342116.87 727863.88,342122.77 727881.6,342079.94 727895.79))","3437",921B509A-5E40-4153-AB00-901F8604BFF0,Cultural Facility,Library,,"15024"
"POLYGON ((218562.8 762024.92,218479.04 762038.16,218484.2 762070.79,218475.01 762072.24,218476.25 762080.1,218463.25 762082.15,218453.61 762021.15,218527.57 762009.46,218524.29 761988.72,218556.29 761983.66,218562.8 762024.92))","3440",635428F3-B6CC-4D9A-B9BC-3458C09371C1,Cultural Facility,Library,Kinlochleven Library,"15024"
"POLYGON ((341028.67 731213.69,341023.03 731229.65,341000.94 731223.64,341003.88 731208.51,341028.67 731213.69))","3461",FBB162D8-1B5D-4D84-BD83-50EEBA61E830,Cultural Facility,Library,Arthurstone Library,"15024"
"POLYGON ((316708.96 818781.48,316728.35 818752.12,316752.41 818768.0,316732.85 818797.44,316708.96 818781.48),(316731.15 818770.27,316726.5 818777.14,316730.45 818779.81,316735.1 818772.94,316731.15 818770.27))","3490",27B8A384-9426-4318-87DE-093E0FD45480,Cultural Facility,Library,,"15024"
"POLYGON ((324658.86 748440.89,324668.34 748447.09,324661.18 748457.7,324651.79 748451.36,324658.86 748440.89))","3615",82D61A4A-B8F0-4B7D-9585-2949C652D2B1,Cultural Facility,Library,,"15024"
"POLYGON ((365641.25 865317.81,365642.35 865334.41,365634.75 865334.91,365633.65 865318.31,365641.25 865317.81))","3627",1F23AD28-5F4C-44B3-A145-58383AD88E32,Cultural Facility,Library,,"15024"
"POLYGON ((413317.09 842304.14,413331.84 842299.5,413334.39 842307.61,413319.64 842312.25,413317.09 842304.14))","3645",10093AA1-6D31-41D1-B528-230EB5992495,Cultural Facility,Library,,"15024"
"POLYGON ((342409.6 865566.67,342404.18 865563.96,342393.6 865558.6,342397.05 865551.7,342372.39 865539.13,342376.9 865530.1,342417.69 865550.59,342409.6 865566.67))","3736",91D4CEBD-EE30-4D66-B421-9B058A70F6EC,Cultural Facility,Library,,"15024"
"POLYGON ((339686.51 729958.48,339657.53 730002.68,339633.38 729987.05,339639.95 729976.72,339611.76 729958.35,339633.99 729924.24,339686.51 729958.48))","3763",5386E89E-AC8C-43AA-81CE-F3192B8CE9B1,Cultural Facility,Library,,"15024"
"POLYGON ((323749.76 870891.5,323748.22 870884.04,323769.55 870879.16,323771.25 870886.57,323749.76 870891.5))","3819",1E3B514D-FB8A-4794-97AA-288723E2CD47,Cultural Facility,Library,,"15024"
"POLYGON ((340292.6 730660.28,340323.07 730615.07,340336.16 730623.9,340337.56 730621.85,340370.9 730572.85,340377.36 730574.56,340380.98 730562.01,340381.7 730562.2,340409.55 730581.8,340411.64 730580.55,340412.94 730580.0,340414.31 730579.63,340415.71 730579.43,340417.13 730579.41,340418.53 730579.57,340419.91 730579.89,340421.23 730580.39,340422.95 730581.4,340424.03 730582.31,340424.98 730583.36,340425.78 730584.52,340426.42 730585.78,340426.91 730587.11,340427.23 730588.49,340427.37 730589.9,340427.08 730592.95,340461.1 730616.0,340436.42 730651.74,340425.08 730643.95,340407.81 730668.85,340417.84 730675.76,340405.19 730694.4,340393.75 730686.57,340365.66 730727.58,340380.66 730737.76,340380.75 730739.23,340371.0 730739.15,340371.51 730734.84,340358.95 730726.3,340358.15 730723.25,340362.54 730716.78,340342.92 730703.46,340337.81 730710.05,340336.01 730711.19,340335.0 730711.56,340333.95 730711.79,340332.88 730711.87,340331.81 730711.81,340330.77 730711.6,340329.77 730711.23,340328.84 730710.7,340328.19 730710.19,340327.44 730709.41,340326.82 730708.54,340326.33 730707.59,340325.97 730706.57,340325.76 730705.52,340325.44 730700.9,340334.22 730687.75,340315.15 730675.21,340315.15 730675.2,340292.6 730660.28))","3889",A1F93561-DB3D-4B0E-9FD2-6980DBD85B72,Cultural Facility,Library,,"15024"
"POLYGON ((447482.1 1141304.44,447472.37 1141301.4,447480.96 1141273.87,447478.96 1141273.32,447481.93 1141263.35,447493.48 1141266.54,447482.1 1141304.44))","3975",33B08D1A-658E-414E-BE54-37D89F0709A2,Cultural Facility,Library,,"15024"
"POLYGON ((290565.1 903862.31,290554.21 903869.48,290524.48 903824.12,290535.11 903816.98,290565.1 903862.31))","4076",1F7974DD-5B24-418C-A882-4FD2675CE7B6,Cultural Facility,Library,,"15024"
"POLYGON ((323811.86 711740.96,323798.91 711743.91,323797.93 711738.5,323798.04 711731.8,323809.25 711731.1,323810.35 711735.26,323810.39 711735.27,323810.53 711735.13,323811.86 711740.96))","4099",A21D6D67-4218-4934-95E4-9356BA7B971B,Cultural Facility,Library,,"15024"
